MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"Iowa City, IA",78.5931567138419,4.193993786675872,1.543622713151536,7.715956161546428,1.3224887814981015,6.630781843286158,"63,131","69,306",0.6729999999999999,0.036000000000000004,"172,919","74,678","4,580","22,950","26,800","14,976","1,721","4,854","8,314","1,603","10,452","3,223","1,346","4,557","6,637","37,649","8,922","3,628","2,101"
"Ithaca, NY",67.37421383647799,6.311482019029188,1.241735203999355,12.862844702467344,1.0079019512981777,11.201822286727946,"61,361","40,817",0.575,0.040999999999999995,"102,237","44,019","5,304","14,912","14,667","5,934",880,"1,591","3,036",316,"4,370","1,091","1,041","1,840","5,683","22,509","4,960","2,596","1,224"
"Jackson, MI",92.12076799061997,0.37666715521031807,0.20225707166935367,1.9404953832624945,0.6976403341638575,4.662172065074014,"54,511","62,216",0.5379999999999999,0.063,"158,174","69,719","4,288","20,842","23,479","13,607",498,"4,333","13,333","1,301","7,758","3,676","1,075","3,069","5,244","16,663","5,115","3,913","3,111"
"Jackson, MS",94.17537110407774,0.3329782587037988,0.06973767903807983,1.0912797247277548,0.8157775751212746,3.5148556583313533,"53,639","219,801",0.565,0.07200000000000001,"596,287","252,597","11,864","72,057","82,735","53,145","2,773","15,967","24,379","7,448","28,184","15,125","4,721","15,872","22,773","73,639","22,331","13,695","18,851"
"Jackson, TN",91.98560463201508,0.2642692093171496,0.13147061167034077,1.2748665374093648,2.266872061831027,4.076916947757032,"48,146","69,505",0.531,0.063,"178,601","79,575","5,369","21,741","25,092","17,303","1,262","4,078","12,216","1,893","8,881","3,665",878,"3,153","5,712","19,888","6,493","3,880","3,666"
"Jacksonville, FL",87.00678621037663,1.1227619835096048,0.47924439818833275,1.439652914614966,1.8222256960013603,8.129328797309102,"63,064","578,620",0.59,0.053,"1,533,796","656,551","33,932","205,080","234,323","105,285","3,438","51,764","37,985","17,574","88,091","49,758","10,674","77,548","94,037","149,621","72,960","37,457","33,320"
"Jacksonville, NC",85.02515130079384,0.49025387094238776,0.1847048652047473,7.93444942230606,1.7379941837616912,4.627446356991276,"51,560","66,131",0.424,0.08,"198,377","80,247","2,584","19,741","29,675","14,131",571,"5,985","2,949","1,165","9,907","3,542",928,"2,439","6,296","14,204","8,288","3,318","5,797"
"Janesville-Beloit, WI",92.13530225884683,0.5294767449242608,0.194268445979405,1.7039755196363497,1.0170524524804145,4.419924578132737,"59,519","65,237",0.621,0.045,"162,532","69,278","3,956","19,645","26,207","15,429","1,182","5,119","18,228","2,900","9,642","3,473","1,587","3,005","5,356","17,229","6,547","3,305","2,543"
"Jefferson City, MO",92.5363360712913,0.5039361111506541,0.12811935029253918,1.494725753412957,1.1658860876621067,4.170996626190442,"60,586","57,247",0.586,0.042,"151,094","65,288","3,163","16,192","21,636","16,256","1,698","5,186","6,820","1,801","8,324","3,757","1,496","4,418","4,912","14,858","3,883","3,059","10,679"
"Johnson City, TN",91.66900830626398,0.4012633613955423,0.0449594802684081,1.5196304330721937,1.4735469657970754,4.891591453202801,"45,970","86,279",0.537,0.052000000000000005,"203,147","97,928","5,606","26,978","31,831","21,864",781,"5,495","11,906","1,918","11,506","4,153","1,749","4,043","8,199","25,947","8,359","4,164","3,063"
"Johnstown, PA",89.9290246263039,0.9570921604473599,0.10395383016094922,3.041545685916048,1.340645947592931,4.627737749578808,"47,644","56,933",0.521,0.052000000000000005,"131,611","66,072","6,288","20,035","20,065","10,545",989,"3,998","5,773","1,201","6,925","4,209",827,"2,411","3,747","16,679","4,368","2,917","2,925"
"Jonesboro, AR",94.20270338512296,0.1481306916693319,0.10436480549430203,1.5924049354453178,0.25417880047805813,3.6982173817900246,"47,610","51,770",0.583,0.057,"132,828","57,150","3,548","17,400","20,045","10,777","1,996","4,286","8,253","1,579","7,912","2,668",931,"2,947","4,237","16,728","4,255","2,672","2,133"
"Joplin, MO",92.14600813078452,0.1878235941033277,0.20759449874578323,1.2949942540808383,1.1294129277002731,5.034166594585243,"50,244","68,584",0.5920000000000001,0.049,"178,816","76,573","4,029","22,309","26,152","16,094","1,453","5,571","14,646","2,393","9,933","4,894","1,374","3,462","6,727","18,186","7,441","4,378","2,155"
"Kahului-Wailuku-Lahaina, HI",87.05840776982976,2.2458902523732345,0.49231669124188104,2.395778749954302,1.5390989629665737,6.268507573634248,"84,363","55,620",0.627,0.051,"166,657","73,535","2,578","16,682","20,797","15,563","1,117","6,231","1,996","1,962","9,512","4,289","1,220","6,418","8,404","14,692","19,222","4,070","4,713"
"Kalamazoo-Portage, MI",88.3682384286511,1.6667699361794412,0.439928124419109,2.920719995043063,0.6428527170208811,5.961490798686412,"58,836","104,278",0.619,0.062,"264,322","112,585","7,833","35,452","40,438","20,555","1,385","5,645","23,350","3,096","13,830","4,109","1,661","8,032","11,536","35,219","14,338","6,443","3,465"
"Kankakee, IL",89.65434228739944,1.6129355828836238,0.15246654763576545,2.2207956346420046,2.2849920757518007,4.0744678716873635,"59,370","40,297",0.579,0.054000000000000006,"109,924","45,626","2,906","13,246","15,874","8,271",875,"2,686","7,625","1,542","6,037","3,561",765,"2,398","3,089","13,890","4,180","2,155","2,090"
"Kansas City, MO-KS",89.03912707587752,0.8376339744192521,0.14418440853969958,1.179011765226482,0.9485379664098267,7.851504809527234,"69,240","843,359",0.653,0.042,"2,144,129","918,223","47,963","266,870","335,314","193,212","8,092","72,809","104,197","32,440","121,347","68,214","24,414","91,746","146,114","240,004","92,281","48,786","49,032"
"Kennewick-Richland, WA",91.17458880808964,0.6351237476982616,0.1794575699884523,0.9690708779376423,0.9417621172872257,6.099996878998783,"70,545","100,336",0.596,0.054000000000000006,"294,396","106,104","4,208","25,487","37,596","33,045","10,113","11,083","9,553","3,495","14,761","7,627","1,535","4,080","18,051","28,324","10,950","5,314","6,217"
"Killeen-Temple, TX",90.06353087359962,0.45293304206665735,0.1848808545603944,3.2046014790468362,0.9725033569152454,5.121550393811251,"55,306","155,894",0.517,0.073,"452,428","178,448","9,312","48,995","64,635","32,952","2,061","13,748","9,411","3,966","19,994","8,982","1,995","8,796","18,418","45,182","17,235","9,664","18,450"
"Kingsport-Bristol, TN-VA",92.51045394314006,0.17376952923533473,0.10632473478326417,1.4607749010148459,1.169572082615906,4.579104809210579,"46,685","128,124",0.504,0.061,"307,267","149,597","7,591","38,407","46,648","35,478","1,426","9,114","20,529","2,921","16,668","6,084","2,158","6,113","9,987","30,762","12,267","5,919","4,737"
"Kingston, NY",82.84154706185134,2.432396844587558,0.41298076347574186,3.3253929302481477,1.38857300183148,9.599109398005721,"65,306","70,088",0.57,0.054000000000000006,"178,371","85,372","4,881","24,923","25,519","14,765",770,"6,728","5,120","1,556","9,502","4,292","1,828","5,337","8,208","24,298","8,727","4,342","5,158"
"Knoxville, TN",90.44997714704745,0.44575814042260387,0.11100005524889629,1.3244667225852464,0.6343577818070407,7.034440152888764,"56,857","345,707",0.574,0.048,"861,872","389,820","18,052","101,419","134,417","91,819","3,110","29,913","41,052","10,451","51,090","21,779","7,509","24,273","49,183","95,611","38,839","16,954","14,702"
"Kokomo, IN",92.51642935377875,0.1588170865279299,0.28203723986856516,1.3608981380065717,0.8680175246440307,4.813800657174151,"56,387","34,632",0.565,0.053,"82,486","39,662","2,202","11,844","12,657","7,929",405,"1,584","9,799",489,"4,193","1,200",343,"1,379","2,559","8,479","3,896","1,643","1,399"
"La Crosse-Onalaska, WI-MN",87.62239729881823,0.7428249859313449,0.8075407990996061,3.8913899831176137,0.8821046707934722,6.05374226223973,"60,165","56,391",0.64,0.033,"136,838","59,442","3,588","17,843","22,711","12,249","1,176","3,793","8,471","2,366","9,759","3,011","1,363","4,536","4,807","21,040","6,235","2,718","2,707"
"Lafayette, LA",91.06040579710145,0.5133913043478261,0.31582608695652176,2.002086956521739,1.0944927536231883,5.013797101449275,"52,827","183,685",0.574,0.066,"490,220","211,408","13,842","63,021","75,542","31,280","18,906","14,903","14,308","7,527","26,611","9,962","2,778","11,301","20,662","52,363","20,739","11,290","8,180"
"Lafayette-West Lafayette, IN",86.2807514674223,2.4251568623843083,1.0101753546653909,5.105157598395495,0.6789703203488693,4.499788396783631,"52,826","86,627",0.602,0.038,"230,353","94,448","6,324","29,397","33,185","17,721","1,867","6,036","20,522","1,751","11,033","4,022","1,027","3,712","9,378","35,272","11,127","4,672","2,414"
"Lake Charles, LA",93.99876598001754,0.3247421006484017,0.08335047249975645,1.682164081358721,0.9460819865556771,2.9648953789199077,"52,986","81,329",0.574,0.057,"209,821","95,919","4,205","29,480","31,587","16,057","2,421","11,699","9,390","2,106","10,257","4,962","1,339","3,790","6,788","20,997","11,158","4,340","4,150"
"Lake Havasu City-Kingman, AZ",90.05116074375618,0.8843107052481021,0.29981296072175156,1.1126086478160415,2.476895147981076,5.17521179447684,"47,686","90,413",0.414,0.076,"210,998","115,466","4,517","31,249","33,276","21,371",724,"5,533","4,383",985,"9,561","4,600","1,267","4,084","5,483","15,617","13,226","4,121","4,530"
"Lakeland-Winter Haven, FL",91.97434035674165,0.39249801353535907,0.3435213853193413,0.8815793078883196,1.184001424774639,5.224059511740691,"51,535","240,879",0.523,0.054000000000000006,"705,735","300,596","12,941","96,240","91,198","40,500","4,186","24,276","18,427","7,512","45,010","19,720","3,719","18,842","31,698","55,957","42,184","14,201","10,761"
"Lancaster, PA",87.16036525264548,1.050752264231649,0.7390600881516058,3.6752152647337786,1.1738669543062246,6.200740175931264,"69,588","204,003",0.638,0.036000000000000004,"543,050","212,160","19,357","57,203","81,376","46,067","6,152","23,014","41,038","8,645","32,580","13,711","3,775","14,430","23,847","63,760","22,511","14,001","6,272"
"Lansing-East Lansing, MI",86.44444107087284,2.0194621346105674,0.9097257539300001,3.0536726809014523,0.7594331387625908,6.813265220922554,"60,278","216,659",0.6,0.055,"547,786","233,860","14,643","75,675","84,310","42,031","2,813","13,125","32,844","5,598","27,482","11,652","3,426","19,317","24,474","71,432","23,964","12,941","20,492"
"Laredo, TX",91.6861529537586,1.003317200500299,0.06888175902260409,1.6196276759657042,1.9948519948519947,3.6271684159008104,"50,296","76,382",0.574,0.057,"274,847","84,553","4,588","25,034","27,346","19,414","3,652","7,377","2,752","4,286","14,923","16,592","1,100","4,622","8,886","25,699","9,446","5,175","6,941"
"Las Cruces, NM",90.476406946086,0.4216292390217292,0.9262205655059551,1.7842531139194473,0.7557505227747977,5.635739612692063,"44,024","79,421",0.52,0.077,"217,696","88,937","4,925","24,292","29,200","21,004","2,845","6,639","3,656","1,379","9,171","4,598","1,177","3,781","8,552","26,271","9,315","4,684","6,565"
"Las Vegas-Henderson-Paradise, NV",87.5724875759921,3.045816723371737,0.24210387979498563,1.34086804997834,2.19412116875721,5.604602602105632,"61,048","809,026",0.59,0.07,"2,228,866","912,465","64,601","296,225","296,928","151,272","3,040","72,716","38,489","19,211","121,304","65,664","16,593","60,781","124,758","163,275","273,026","49,316","36,178"
"Lawrence, KS",84.10732406136215,1.9802423446546886,1.0565271891601504,5.055810899540381,0.8520861935175789,6.948009311765057,"61,020","47,972",0.674,0.043,"121,304","51,039","2,089","16,095","18,984","10,804",543,"3,170","5,427","1,206","8,140","2,733","1,271","3,807","7,307","20,464","8,121","3,351","2,715"
"Lawton, OK",84.43935126056301,1.2474412582885734,0.1102227198768305,1.5326206763825951,1.478384099935266,11.191979984953724,"52,219","45,456",0.501,0.067,"127,157","54,659","3,817","15,415","16,880","9,344",980,"2,751","5,013",577,"5,923","1,773",662,"2,315","4,255","12,950","5,603","2,600","4,841"
"Lebanon, PA",89.55870408807868,0.5926059621574467,0.11430977950245165,3.1705923051469487,0.7204524260746623,5.843335439039798,"61,632","53,857",0.602,0.049,"140,410","57,970","3,340","18,084","20,455","11,978","1,430","4,046","9,773","2,329","8,365","4,334",922,"2,963","5,035","16,379","6,051","3,253","2,401"
"Lewiston, ID-WA",88.62305207482872,0.521813212168542,0.3194774768378829,2.914344538710021,1.206914912498669,6.414397784956161,"55,657","25,834",0.562,0.042,"63,104","27,998","1,413","6,733","9,080","8,608",999,"1,756","4,257",718,"3,452","1,118",525,"1,484","1,769","7,434","2,320","1,457","1,560"
"Lewiston-Auburn, ME",88.50876034928238,0.1376761028233031,0.16407973898119682,3.3834373762329553,0.7072402542292967,7.098806178450862,"55,002","45,906",0.621,0.045,"107,958","50,053","4,183","15,542","17,030","9,151",787,"3,237","5,747","1,163","6,583","2,562","1,044","4,037","5,660","14,446","4,169","2,495","2,209"
"Lexington-Fayette, KY",87.7034435832662,1.1907462009525969,0.3398221506166853,3.0318079789771706,1.164545874035085,6.569634212152259,"60,769","203,965",0.632,0.049,"514,273","222,191","13,035","67,877","82,911","40,142","5,165","13,415","30,241","6,710","31,457","10,640","3,626","13,829","27,108","70,492","24,266","13,690","10,191"
"Lima, OH",92.25702983000107,0.7206243985886881,0.14540789051641184,1.4754624184753555,1.890302576713354,3.511172885705122,"51,892","41,025",0.5820000000000001,0.055999999999999994,"102,808","45,126","3,439","12,866","15,212","9,508",547,"2,472","10,259","1,237","5,513","2,743",645,"1,947","3,190","11,325","4,132","2,076","1,582"
"Lincoln, NE",89.02712773718532,0.9837592736006824,0.9091215192430722,3.094941468287372,0.6706174169725131,5.314432584711045,"62,883","133,432",0.6809999999999999,0.033,"333,193","140,312","6,884","42,332","52,816","31,400","2,679","11,653","16,366","3,817","19,039","8,374","3,546","13,553","17,536","49,706","15,140","8,678","10,642"
"Little Rock-North Little Rock-Conway, AR",92.29520154217538,0.4361971252091257,0.1580382417811431,1.2602536716393717,1.1369491093705677,4.713360309824422,"55,983","289,808",0.59,0.045,"740,602","327,597","17,560","98,729","112,294","61,225","3,234","23,394","25,269","10,076","40,433","20,410","8,043","22,888","32,767","93,672","28,586","17,057","20,162"
"Logan, UT-ID",85.32339800293862,1.6312333203394405,1.1829440163123333,3.944646016372305,0.6746828990374524,7.2430957449998505,"60,466","44,013",0.667,0.027000000000000003,"140,072","47,201","1,608","9,233","17,833","15,339","1,917","3,996","11,080","1,126","7,403","2,499",749,"2,796","7,963","17,569","6,138","2,670","2,005"
"Longview, TX",93.8511995241557,0.10822153195426609,0.08756856784085652,1.3416165488070848,0.8517282400370101,3.7596655872050757,"53,524","102,463",0.551,0.054000000000000006,"285,554","119,880","5,386","32,860","41,459","22,758","7,490","9,425","14,134","3,534","14,569","7,120","1,308","5,870","10,659","27,447","10,587","6,423","4,251"
"Longview, WA",92.00317784587448,0.36772216547497444,0.39723073430938605,2.0746793780501647,0.6628078538190898,4.49438202247191,"58,791","42,354",0.522,0.065,"108,399","44,970","2,788","12,172","14,842","12,552","1,210","3,257","7,212","1,111","5,688","3,057",473,"1,988","3,339","9,920","3,917","1,998","1,958"
"Los Angeles-Long Beach-Anaheim, CA",82.6203695290593,4.505567796631558,0.6474677378239152,2.3997241341016187,1.554742849066271,8.272127953317332,"76,399","4,372,505",0.609,0.061,"13,211,027","4,661,034","339,628","1,383,075","1,596,128","1,053,674","31,646","384,598","632,942","216,806","657,803","366,944","251,311","433,470","880,716","1,350,929","712,598","364,668","217,272"
"Louisville/Jefferson County, KY-IN",88.78764008736438,1.7375227443615142,0.20050843209567115,1.510160504395887,1.170012271376445,6.594155960406095,"60,891","497,106",0.619,0.049,"1,262,287","547,307","36,787","164,214","189,741","106,364","3,431","36,926","85,197","15,708","68,684","52,273","10,952","48,584","60,519","140,196","56,209","27,687","20,174"
"Lubbock, TX",91.89386435906792,0.673122035135276,0.31733826825835376,1.9372621592034616,0.9194338737423761,4.258979304592608,"53,003","120,841",0.619,0.043,"320,031","134,602","6,742","41,827","48,217","24,055","4,589","10,677","8,093","5,234","18,078","6,745","3,098","9,527","12,536","46,553","15,691","8,473","6,389"
"Lynchburg, VA",90.20240490960799,0.9463302676002462,0.07151529263059857,2.4772564737971297,1.5542102549603338,4.748282801403696,"56,983","101,123",0.564,0.045,"262,937","117,059","6,026","28,190","36,627","30,280","1,520","8,201","16,628","1,886","14,626","5,454","1,430","5,966","11,242","34,214","9,673","7,038","4,585"
"Macon-Bibb County, GA",91.885056980665,0.8301677408340091,0.09069956037389561,2.0711511374791924,1.1140040121217296,4.008920568526186,"46,083","86,898",0.526,0.065,"229,565","102,887","8,451","29,227","29,238","19,982","1,369","5,245","8,111","2,224","10,727","5,823","1,357","7,762","8,144","24,399","9,444","4,364","6,869"
"Madera, CA",88.65862514834298,0.39676213755601614,0.2036948474059904,1.9147315656163097,3.8861434365977643,4.940042864480933,"61,924","44,479",0.499,0.096,"155,925","50,480","1,955","10,588","16,948","14,988","8,757","5,161","4,943","1,189","5,790","2,718",670,"3,018","4,320","12,686","4,703","2,166","2,796"
"Madison, WI",80.13468745498868,3.8033715346379933,2.001831705905213,4.94941067444281,0.9147658867875302,8.19593274323777,"73,807","275,987",0.6920000000000001,0.025,"660,212","290,121","20,284","94,261","111,393","50,049","6,218","19,547","38,410","7,920","37,267","12,943","10,339","27,808","48,163","101,568","29,249","15,705","17,840"
"Manchester-Nashua, NH",87.75410302965574,0.8290611983338674,0.20381644059952295,2.1236071059845494,0.8228310014596462,8.266581223966678,"82,099","162,843",0.672,0.04,"415,305","172,201","9,089","50,434","66,059","37,261","1,059","14,784","32,584","5,833","29,494","9,080","4,801","14,599","29,537","53,333","17,572","9,442","6,756"
"Manhattan, KS",85.06455524645125,0.19116912761252586,0.992938155360582,6.743704971823954,0.7960624866252942,6.2115700121264,"54,488","48,627",0.581,0.043,"131,571","56,330","2,495","15,227","19,750","11,155","1,162","3,612","3,778","1,056","6,459","2,145",956,"2,850","5,577","20,845","5,856","2,469","4,067"
"Mankato, MN",85.76513098464318,1.3170731707317074,0.4643179765130985,2.822041553748871,1.074977416440831,8.556458897922314,"63,288","39,211",0.693,0.034,"101,544","42,391","2,499","10,869","16,436","9,407","1,511","3,284","8,316","1,629","6,402","2,310","1,356","2,182","3,322","17,960","4,999","2,423","1,697"
"Mansfield, OH",93.7601585728444,0.6600594648166502,0.26957383548067393,1.026759167492567,0.9454905847373638,3.3379583746283448,"49,186","48,967",0.526,0.057,"121,043","54,149","4,496","15,816","18,279","10,376",844,"2,720","10,853","1,060","6,215","2,251",794,"1,661","3,386","11,958","4,847","2,327","2,586"
"Mayagüez, PR",93.40099470300433,1.2534875257773643,0.3234806518135134,2.923456390764627,0.19813189923577695,1.9004488294043913,"15,757","38,558",0.304,0.235,"97,198","52,440","7,519","16,397","10,170","4,472",369,781,"2,330",438,"3,933",673,294,"1,288","2,059","7,366","2,498","1,185","1,985"
"McAllen-Edinburg-Mission, TX",88.42141099642531,0.2488355178657093,0.140511598396806,1.1593754352300336,3.735318240200554,6.294548211881587,"41,846","243,878",0.541,0.073,"861,137","281,380","15,376","85,691","88,930","53,881","10,254","29,992","17,153","8,861","41,984","16,041","4,276","13,013","28,969","96,736","30,264","18,669","14,316"
"Medford, OR",85.55521027553345,0.7157654858089911,1.1549616739175472,2.478765278640978,1.3320903252537808,8.763206960845245,"56,327","89,690",0.551,0.051,"218,781","96,318","5,300","27,715","33,146","23,529","3,592","5,881","8,499","2,190","13,644","4,830","2,181","5,555","7,782","24,231","11,086","4,883","4,197"
"Memphis, TN-MS-AR",93.1961633916797,0.6719798176710051,0.11909539918255015,0.9250780181346089,0.952271740643967,4.135411632688165,"53,896","505,544",0.591,0.069,"1,343,150","569,954","37,780","178,661","182,944","106,159","3,652","32,538","62,276","21,476","65,523","79,854","7,139","31,812","59,796","138,981","55,281","31,990","29,094"
"Merced, CA",88.26671865860791,0.924156755702866,0.3762916747904075,2.365958276467148,4.231819068044453,3.8350555663872097,"56,330","81,306",0.53,0.107,"273,661","86,691","5,792","22,613","27,932","24,969","12,772","7,439","11,801","3,619","12,184","7,242","1,039","3,207","6,731","23,372","8,035","4,548","5,070"
"Miami-Fort Lauderdale-Pompano Beach, FL",85.87409258191694,3.0235771602492822,0.5154216676547972,1.5284376699060958,1.9409594247167434,7.117511495556145,"59,030","2,172,740",0.594,0.055999999999999994,"6,129,858","2,548,767","172,751","860,682","791,523","347,784","17,396","233,598","133,186","98,623","354,624","208,291","59,471","231,755","422,396","616,546","327,679","173,551","110,214"
"Michigan City-La Porte, IN",91.84135378106821,1.03648863035431,0.19883659439450027,1.802221047065045,0.9455314648334215,4.175568482284506,"57,010","42,725",0.542,0.055,"110,026","49,231","2,698","13,132","16,246","10,649",517,"3,449","10,571",818,"5,611","2,532",540,"1,555","4,056","10,067","4,843","2,026","1,663"
"Midland, MI",91.76542326148626,0.76088973726769,0.17232694398048728,1.0047986425939182,0.7449826347464144,5.5515787799252365,"64,078","34,253",0.5660000000000001,0.045,"83,445","37,065","2,072","10,098","14,632","7,451",234,"2,612","7,509",726,"3,811","1,491",452,"1,788","2,992","9,746","4,071","1,718","1,078"
"Midland, TX",93.19598776083005,0.152989624312697,0.13573515540524994,1.3078887431844848,0.8788276163526353,4.328571099914878,"82,768","59,639",0.674,0.034,"176,914","64,303","2,008","18,532","22,814","16,285","16,724","6,574","4,158","2,843","10,158","5,534",820,"4,429","7,099","14,945","6,656","5,651","2,477"
"Milwaukee-Waukesha, WI",86.7774904065381,2.881230005642462,0.4058232249861492,2.426130981711785,0.791731878378137,6.717593502743361,"63,739","634,436",0.633,0.042,"1,576,525","680,891","58,983","227,126","244,901","103,426","4,353","38,335","131,023","22,367","83,069","35,879","13,449","56,158","86,815","196,205","68,104","34,278","24,381"
"Minneapolis-St. Paul-Bloomington, MN-WI",82.80706789921246,4.20981148871605,0.6985847354425548,2.1476995841249935,0.9434923725050359,9.193343919998918,"82,887","1,390,448",0.687,0.037000000000000005,"3,605,450","1,456,697","95,033","423,533","567,910","303,972","14,892","108,472","263,958","56,998","208,749","91,125","33,865","169,994","237,276","463,851","156,319","83,556","68,290"
"Missoula, MT",81.90399926082202,1.9264825908187937,3.57577344195143,4.541324668524878,0.828495310839737,7.2239247270431335,"56,247","49,700",0.6659999999999999,0.049,"119,062","54,731","2,685","14,744","19,781","12,490","1,626","4,060","2,661","1,397","8,459","4,154","1,467","3,482","7,400","17,360","8,848","3,216","2,209"
"Mobile, AL",92.61653756885994,0.5011045552417438,0.08165319761751628,0.9792791029333632,0.9524342160454126,4.868991359302033,"49,370","163,387",0.531,0.057,"430,313","192,924","11,448","54,140","60,160","37,639","2,264","13,662","22,830","4,922","20,536","10,984","2,854","10,131","17,575","41,401","16,984","9,634","7,382"
"Modesto, CA",90.9270922264785,0.7562991404472535,0.3879832469906714,1.25602871433616,1.0539913553041511,5.618605316443249,"62,873","174,826",0.5579999999999999,0.08800000000000001,"546,235","182,239","9,973","48,172","65,564","51,117","12,019","19,911","27,461","7,458","28,098","16,087","2,073","7,036","20,761","50,271","19,532","11,137","9,199"
"Monroe, LA",93.7347158368385,0.9671818448596303,0.25066027584857675,1.0955688154162182,0.9463953829599923,3.005477844077081,"43,212","75,093",0.523,0.053,"202,138","93,531","6,602","29,917","25,911","12,663","1,664","5,366","6,268","2,679","10,802","3,620","3,095","4,918","6,269","23,842","6,781","3,691","3,870"
"Monroe, MI",92.56544350924973,0.2274406408900607,0.12023931970621045,1.1864578655347753,0.7533065812919207,5.147112083327297,"65,453","60,804",0.5760000000000001,0.05,"150,000","64,760","3,298","17,120","24,160","16,226",740,"5,114","14,571","1,320","7,429","5,774",793,"2,487","5,159","16,334","5,597","3,288","1,745"
"Montgomery, AL",92.83702932350748,0.3401255753482898,0.08811224143986493,1.4399881695452053,0.7264638647384669,4.56828082542069,"54,250","145,077",0.5479999999999999,0.055,"373,552","168,343","9,989","50,128","51,079","33,881","1,195","8,148","18,025","4,072","18,443","8,498","1,876","8,900","16,771","36,687","14,733","8,012","17,370"
"Morgantown, WV",84.88559706194201,2.016073267052876,0.20437328088264672,5.312168661739171,0.7283679333712372,6.853419795012063,"53,681","52,663",0.557,0.071,"139,806","60,196","4,089","18,267","20,315","9,992","2,205","3,254","3,773",781,"6,532","2,476",823,"2,759","6,965","23,651","7,018","2,425","3,555"
"Morristown, TN",93.37663648907886,0.3045804866556726,0.1127452630161882,0.8683068017366137,0.6411335105845927,4.696597448928078,"46,798","53,675",0.525,0.067,"141,909","62,750","2,168","14,863","20,114","16,530",916,"4,454","11,619","1,405","8,195","3,660",579,"2,126","4,383","11,693","6,899","2,735","2,050"
"Mount Vernon-Anacortes, WA",87.33707410599638,0.659619004063253,0.3887354663946105,2.5188651035162093,0.9445744138185784,8.151131906210972,"71,021","49,263",0.555,0.051,"127,442","54,317","1,967","11,644","19,048","16,604","2,825","5,274","6,781","1,180","6,726","3,013",565,"2,210","4,894","12,928","5,656","2,458","2,687"
"Muncie, IN",87.52449886480508,1.3835794539421342,0.5588651931771874,4.8687248947276505,1.096384840781635,4.567946752566317,"45,910","46,632",0.55,0.064,"114,461","52,677","3,608","15,825","17,947","9,252",491,"2,638","6,413","1,122","6,388","2,099",640,"2,653","4,174","16,647","5,234","2,797","1,542"
"Muskegon, MI",94.56975661657135,0.3085516691049342,0.2753025668306956,1.017422529591701,0.5333156004787871,3.2956510174225295,"53,478","66,064",0.5529999999999999,0.07200000000000001,"173,679","74,335","4,870","21,846","24,969","14,379",689,"4,016","20,428","1,298","8,846","3,058",610,"2,641","5,062","16,390","7,200","3,909","2,506"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",89.9771530744015,0.45991854574351837,0.15992847918943082,1.2625409754643886,1.4443230356610708,6.696135889540081,"53,832","195,635",0.501,0.06,"481,489","302,532","8,006","66,702","85,285","35,642","1,006","19,667","9,497","3,607","32,064","8,831","3,312","12,825","21,588","38,460","35,960","10,757","7,153"
"Napa, CA",85.3992219474453,1.3594226792196336,1.0210132037543205,3.50557507917914,1.4534253112933315,7.261341779108276,"92,219","48,484",0.621,0.045,"138,572","55,339","2,418","13,178","17,764","15,124","3,553","3,935","9,316","1,773","6,965","2,490","1,005","3,395","7,365","14,867","10,131","3,203","2,754"
"Naples-Marco Island, FL",86.08032974229253,1.0708920248077145,0.7768461331039176,1.0676819168196818,1.653847635434456,9.350402547541698,"70,217","147,977",0.496,0.044000000000000004,"379,345","218,348","7,179","60,723","60,107","19,968","3,476","18,259","5,697","3,116","19,752","6,405","2,051","12,299","25,060","26,365","23,743","9,285","4,207"
"Nashville-Davidson--Murfreesboro--Franklin, TN",87.80286230964987,0.8763675343059839,0.13358263303030055,1.2323151322734005,1.0549550360448083,8.899917354695644,"68,406","727,452",0.657,0.04,"1,904,186","788,546","30,265","217,590","291,241","188,356","5,398","67,709","99,561","27,894","112,061","55,764","22,969","70,199","119,505","223,826","102,251","48,450","39,113"
"New Bern, NC",91.82554725536106,0.2954621473965882,0.18396699743561154,1.9567398818151411,1.3472330620284685,4.391050655963133,"52,345","50,577",0.47600000000000003,0.062,"124,416","60,218","3,015","16,303","19,268","11,991","1,609","3,034","5,565",883,"5,669","2,530",619,"1,806","3,688","10,550","5,211","2,614","4,435"
"New Haven-Milford, CT",85.1582953611358,3.450995671407054,0.46706990843909324,3.3333966863219313,1.1099443602377639,6.480298012458366,"71,370","332,765",0.609,0.064,"855,733","367,990","37,134","116,701","115,761","63,169","1,049","25,848","46,774","10,935","46,359","19,333","7,976","27,682","43,197","133,012","32,804","18,622","15,825"
